"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10337","282933","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","885","76.5","40.35","L","1YJC","3.8295865","9.297824","8.522594"
"10338","259751","PSPA","NYOR","318","24.5","31.8","1","1","1","1","318","24.5","31.8","C","1TLP","0","0","0"
"10339","273899","SEUS","NYOR","347","34","74.7","1","1","1","1","347","34","74.7","C","0SUV","0","0","0"
"10340","274101","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","704","76","70.4","C","1OA6","144.13834","186.18199","137.62042"
"10341","274368","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","724","70.1","77.7","C","17MT","151.07408","163.96526","162.26001"
"10342","274466","COAR","MAUS","235.30624","14.136591","10.62653","0","0","0","0","120","8","4.67","C","20Y4","-49.00263","-43.40927","-56.053387"
"10343","274495","BADO","PALR","174","16.844194","8.7329035","1","1","1","1","175","15.84","9.24","C","25R5","0.574708","-5.9616623","5.806732"
"10344","274542","XARE","MAUS","871.8611","86.91389","85.10917","1","1","1","1","898","90.7","74.7","C","0RRF","2.998054","4.356158","-12.230378"
"10345","274547","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","234","19.9","13.77","L","1YIH","-0.55934787","-14.964372","-7.4641285"
"10346","274560","BELM","MAUS","822","64.65","31.658333","1","1","0","0","917","66.7","43.78","C","1YIH","11.557174","3.1709075","38.289024"
"10347","274573","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","231","21","13.2300005","L","20Y4","-1.8342316","-10.263908","-11.092985"
"10348","274603","PALR","BADO","175","15.405262","6.8063154","1","0","0","0","175","24.72","14.39","L","25R5","0","60.464645","111.421295"
"10349","274688","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","100","9.6","10.9","C","1LPY","-2.9307485","4.665065","1.8618345"
"10350","274692","SNOS","SAOL","54.6","4.46","4.7799997","0","1","0","0","30","3.9","3.8","C","17HL","-45.054943","-12.556052","-20.50209"
"10351","274694","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","0","0","107","6.7","5.5","C","1OA6","3.5915017","12.466836","-26.12437"
"10352","274705","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","600","66.5","110.74","C","0W5S","82.19895","133.23738","287.19812"
"10353","274706","SALV","FAZE","262.7","24.240002","24.369999","1","0","0","0","300","31.1","55","C","0W5S","14.198696","28.300322","125.68734"
"10354","274713","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","623","59.9","63.6","C","6826","89.18325","110.08902","122.37494"
"10355","274714","SUAP","FAZE","194.72223","17.168333","19.551668","1","0","0","0","159","12.5","12.7","C","6826","-18.345224","-27.191532","-35.043907"
"10356","274739","COAR","BELM","1157.102","70.29336","38.67143","1","1","0","0","1158","67.9","50.42","C","1YIH","0.07760525","-3.404814","30.380487"
"10357","274793","TDAI","FAZE","326","24","34.3","1","0","0","0","307","33.5","26","C","25DB","-5.8282194","39.583336","-24.198252"
"10358","274794","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","715","66.7","72","C","25DB","147.95299","151.16237","143.02087"
"10359","274815","BELM","COAR","1144.9315","95.75836","53.525524","1","1","1","1","1116","91.3","50.7","L","1YJC","-2.526921","-4.6558437","-5.2788315"
"10360","274854","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1124","65.7","37.45","C","1YJC","-2.8607726","-6.5345583","-3.158474"
"10361","274863","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","0","0","120","6","4.95","C","0103","16.177391","0.71656704","-33.511936"
