"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9902","279100","BELM","SALV","79","6.5959997","6.725","0","0","0","0","66","5","5.2","L","1CQ3","-16.455698","-24.196482","-22.67658"
"9903","279101","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","104","8.5","10.8","C","1CQ3","0.9520173","-7.327813","0.92732906"
"9904","279102","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","0","0","317","31","33.63","C","1CQ3","62.795998","80.565","72.00578"
"9905","279108","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","596","58.25","69","C","1HZM","80.98429","104.301926","141.25583"
"9906","279111","SUAP","BELM","80.23333","6.117333","5.969333","1","0","0","0","81","5.3","4.3","C","6826","0.9555459","-13.360935","-27.965153"
"9907","279129","MAUS","ARAP","1","1","1","0","0","0","0","901","56","45.3","C","0RRF","90000","5500","4430"
"9908","279174","BELM","MAUS","852.3582","69.99224","37.181194","0","0","1","0","1077","93.8","37.32","L","1YLJ","26.355326","34.01486","0.3733158"
"9909","279175","MAUS","COAR","236.76471","23.310589","14.2658825","1","1","0","0","238","23.1","9.77","C","1YLJ","0.5217433","-0.90340376","-31.514925"
"9910","279185","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1126","66","35.649998","C","1YJC","-2.687925","-6.1077714","-7.813084"
"9911","279241","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","0","0","98","4.8","5.79","C","25DB","-5.1217976","-19.426739","-22.22911"
"9912","279245","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","729","66","103.4","C","0441","152.80803","148.52647","249.00499"
"9913","279298","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","1","0","107","7.3","7.29","C","1OA6","3.5915017","22.538494","-2.0812094"
"9914","279336","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","233","20.1","13.2699995","L","1YIH","-0.9843111","-14.109736","-10.824192"
"9915","279351","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","110","9.6","17.57","C","0W5S","6.776178","4.665065","64.19381"
"9916","279354","BELM","MAUS","852.3582","69.99224","37.181194","1","1","0","0","929","74.8","42.39","L","1YIH","8.99173","6.868994","14.009249"
